FCN_2(
  (pool4): Sequential(
    (0): Conv2d(3, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (1): ReLU(inplace=True)
    (2): Conv2d(64, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (3): ReLU(inplace=True)
    (4): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
    (5): Conv2d(64, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (6): ReLU(inplace=True)
    (7): Conv2d(128, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (8): ReLU(inplace=True)
    (9): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
    (10): Conv2d(128, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (11): ReLU(inplace=True)
    (12): Conv2d(256, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (13): ReLU(inplace=True)
    (14): Conv2d(256, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (15): ReLU(inplace=True)
    (16): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
    (17): Conv2d(256, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (18): ReLU(inplace=True)
    (19): Conv2d(512, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (20): ReLU(inplace=True)
    (21): Conv2d(512, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (22): ReLU(inplace=True)
    (23): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
  )
  (pool5): Sequential(
    (24): Conv2d(512, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (25): ReLU(inplace=True)
    (26): Conv2d(512, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (27): ReLU(inplace=True)
    (28): Conv2d(512, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (29): ReLU(inplace=True)
    (30): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
  )
  (upconv4): Sequential(
    (0): ReLU()
    (1): ConvTranspose2d(512, 512, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), output_padding=(1, 1))
    (2): BatchNorm2d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  )
  (upconv): Sequential(
    (0): ConvTranspose2d(512, 256, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), output_padding=(1, 1))
    (1): BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ConvTranspose2d(256, 128, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), output_padding=(1, 1))
    (3): BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (4): ConvTranspose2d(128, 64, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), output_padding=(1, 1))
    (5): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (6): ConvTranspose2d(64, 32, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), output_padding=(1, 1))
    (7): BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (8): Conv2d(32, 21, kernel_size=(1, 1), stride=(1, 1))
  )
)
Criterion: LovaszSoftmax()
Optimizer: Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 1e-05
)
Learning Rate: 0.001
Weight Decay: 1e-05
Batch Size: 10
Epochs: 100
-----------------------
Epoch:1, Loss:0.8606 Val set: Average loss: 0.0145, Accuracy: 34380/50176 (69%)
Epoch:2, Loss:0.8316 Val set: Average loss: 0.0146, Accuracy: 28920/50176 (58%)
Epoch:3, Loss:0.7854 Val set: Average loss: 0.0147, Accuracy: 22307/50176 (44%)
Epoch:4, Loss:0.7922 Val set: Average loss: 0.0145, Accuracy: 30771/50176 (61%)
Epoch:5, Loss:0.7222 Val set: Average loss: 0.0144, Accuracy: 31080/50176 (62%)
Epoch:6, Loss:0.8066 Val set: Average loss: 0.0145, Accuracy: 24741/50176 (49%)
Epoch:7, Loss:0.7703 Val set: Average loss: 0.0144, Accuracy: 30513/50176 (61%)
Epoch:8, Loss:0.7620 Val set: Average loss: 0.0143, Accuracy: 30752/50176 (61%)
Epoch:9, Loss:0.6956 Val set: Average loss: 0.0144, Accuracy: 33641/50176 (67%)
Epoch:10, Loss:0.6940 Val set: Average loss: 0.0142, Accuracy: 26599/50176 (53%)
Epoch:11, Loss:0.6752 Val set: Average loss: 0.0142, Accuracy: 32032/50176 (64%)
Epoch:12, Loss:0.6854 Val set: Average loss: 0.0142, Accuracy: 31817/50176 (63%)
Epoch:13, Loss:0.6968 Val set: Average loss: 0.0142, Accuracy: 29442/50176 (59%)
Epoch:14, Loss:0.6733 Val set: Average loss: 0.0141, Accuracy: 29999/50176 (60%)
Epoch:15, Loss:0.6634 Val set: Average loss: 0.0140, Accuracy: 29074/50176 (58%)
Epoch:16, Loss:0.6578 Val set: Average loss: 0.0140, Accuracy: 30610/50176 (61%)
Epoch:16, Loss:0.8066 Val set: Average loss: 0.0145, Accuracy: 24741/50176 (49%)
Epoch:17, Loss:0.7703 Val set: Average loss: 0.0144, Accuracy: 30513/50176 (61%)
Epoch:18, Loss:0.7620 Val set: Average loss: 0.0143, Accuracy: 30752/50176 (61%)
Epoch:19, Loss:0.6956 Val set: Average loss: 0.0144, Accuracy: 33641/50176 (67%)
Epoch:20, Loss:0.6940 Val set: Average loss: 0.0142, Accuracy: 26599/50176 (53%)
Epoch:21, Loss:0.6752 Val set: Average loss: 0.0142, Accuracy: 32032/50176 (64%)
Epoch:22, Loss:0.6854 Val set: Average loss: 0.0142, Accuracy: 31817/50176 (63%)
Epoch:23, Loss:0.6968 Val set: Average loss: 0.0142, Accuracy: 29442/50176 (59%)
Epoch:24, Loss:0.6733 Val set: Average loss: 0.0141, Accuracy: 29999/50176 (60%)
Epoch:25, Loss:0.6634 Val set: Average loss: 0.0140, Accuracy: 29074/50176 (58%)
Epoch:26, Loss:0.6578 Val set: Average loss: 0.0140, Accuracy: 30610/50176 (61%)
Epoch:26, Loss:0.8066 Val set: Average loss: 0.0145, Accuracy: 24741/50176 (49%)
Epoch:27, Loss:0.7703 Val set: Average loss: 0.0144, Accuracy: 30513/50176 (61%)
Epoch:28, Loss:0.7620 Val set: Average loss: 0.0143, Accuracy: 30752/50176 (61%)
Epoch:29, Loss:0.6956 Val set: Average loss: 0.0144, Accuracy: 33641/50176 (67%)
Epoch:30, Loss:0.6940 Val set: Average loss: 0.0142, Accuracy: 26599/50176 (53%)
Epoch:31, Loss:0.6752 Val set: Average loss: 0.0142, Accuracy: 32032/50176 (64%)
Epoch:32, Loss:0.6854 Val set: Average loss: 0.0142, Accuracy: 31817/50176 (63%)
Epoch:33, Loss:0.6968 Val set: Average loss: 0.0142, Accuracy: 29442/50176 (59%)
Epoch:34, Loss:0.6733 Val set: Average loss: 0.0141, Accuracy: 29999/50176 (60%)
Epoch:35, Loss:0.6634 Val set: Average loss: 0.0140, Accuracy: 29074/50176 (58%)
Epoch:36, Loss:0.6578 Val set: Average loss: 0.0140, Accuracy: 30610/50176 (61%)
Epoch:37, Loss:0.7703 Val set: Average loss: 0.0144, Accuracy: 30513/50176 (61%)
