Naive(
  (encoder): Sequential(
    (0): Conv2d(3, 64, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1))
    (1): LeakyReLU(negative_slope=0.01)
    (2): Conv2d(64, 128, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1))
    (3): LeakyReLU(negative_slope=0.01)
    (4): Conv2d(128, 256, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1))
    (5): LeakyReLU(negative_slope=0.01)
    (6): Conv2d(256, 512, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1))
  )
  (decorder): Sequential(
    (0): ConvTranspose2d(512, 256, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), output_padding=(1, 1))
    (1): LeakyReLU(negative_slope=0.01)
    (2): ConvTranspose2d(256, 128, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), output_padding=(1, 1))
    (3): LeakyReLU(negative_slope=0.01)
    (4): ConvTranspose2d(128, 64, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), output_padding=(1, 1))
    (5): LeakyReLU(negative_slope=0.01)
    (6): ConvTranspose2d(64, 21, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), output_padding=(1, 1))
  )
)
Criterion: CrossEntropyLoss()
Optimizer: Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 1e-05
)
Learning Rate: 0.001
Weight Decay: 1e-05
Batch Size: 64
Epochs: 100
-----------------------
Epoch:1, Loss:2.8937 Val set: Average loss: 0.0468, Accuracy: 0/256 (0%)
Epoch:2, Loss:2.8069 Val set: Average loss: 0.0452, Accuracy: 0/256 (0%)
Epoch:3, Loss:2.6663 Val set: Average loss: 0.0451, Accuracy: 0/256 (0%)
Epoch:4, Loss:2.9175 Val set: Average loss: 0.0457, Accuracy: 0/256 (0%)
Epoch:5, Loss:2.6060 Val set: Average loss: 0.0435, Accuracy: 0/256 (0%)
Epoch:6, Loss:2.6550 Val set: Average loss: 0.0445, Accuracy: 0/256 (0%)
Epoch:7, Loss:2.7723 Val set: Average loss: 0.0440, Accuracy: 0/256 (0%)
Epoch:8, Loss:2.5518 Val set: Average loss: 0.0435, Accuracy: 0/256 (0%)
Epoch:9, Loss:2.7174 Val set: Average loss: 0.0436, Accuracy: 0/256 (0%)
Epoch:10, Loss:2.6332 Val set: Average loss: 0.0433, Accuracy: 0/256 (0%)
Epoch:11, Loss:2.6054 Val set: Average loss: 0.0431, Accuracy: 0/256 (0%)
Epoch:12, Loss:2.5656 Val set: Average loss: 0.0427, Accuracy: 0/256 (0%)
Epoch:13, Loss:2.4504 Val set: Average loss: 0.0476, Accuracy: 0/256 (0%)
Epoch:14, Loss:2.5828 Val set: Average loss: 0.0428, Accuracy: 0/256 (0%)
Epoch:15, Loss:2.7944 Val set: Average loss: 0.0445, Accuracy: 0/256 (0%)
Epoch:16, Loss:2.5857 Val set: Average loss: 0.0422, Accuracy: 0/256 (0%)
Epoch:17, Loss:2.5626 Val set: Average loss: 0.0414, Accuracy: 0/256 (0%)
Epoch:18, Loss:2.5014 Val set: Average loss: 0.0418, Accuracy: 0/256 (0%)
