Naive(
  (encoder): Sequential(
    (0): Conv2d(3, 64, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1))
    (1): LeakyReLU(negative_slope=0.01)
    (2): Conv2d(64, 128, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1))
    (3): LeakyReLU(negative_slope=0.01)
    (4): Conv2d(128, 256, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1))
    (5): LeakyReLU(negative_slope=0.01)
    (6): Conv2d(256, 512, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1))
  )
  (decorder): Sequential(
    (0): ConvTranspose2d(512, 256, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), output_padding=(1, 1))
    (1): LeakyReLU(negative_slope=0.01)
    (2): ConvTranspose2d(256, 128, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), output_padding=(1, 1))
    (3): LeakyReLU(negative_slope=0.01)
    (4): ConvTranspose2d(128, 64, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), output_padding=(1, 1))
    (5): LeakyReLU(negative_slope=0.01)
    (6): ConvTranspose2d(64, 21, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), output_padding=(1, 1))
  )
)
Criterion: CrossEntropyLoss()
Optimizer: Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 1e-05
)
Learning Rate: 0.001
Weight Decay: 1e-05
Batch Size: 64
Epochs: 100
-----------------------
Epoch:1, Loss:2.5405 Val set: Average loss: 0.0398, Accuracy: 0/256 (0%)
Epoch:2, Loss:2.4228 Val set: Average loss: 0.0373, Accuracy: 0/256 (0%)
Epoch:3, Loss:2.3708 Val set: Average loss: 0.0367, Accuracy: 0/256 (0%)
Epoch:4, Loss:2.3563 Val set: Average loss: 0.0364, Accuracy: 0/256 (0%)
Epoch:5, Loss:2.3570 Val set: Average loss: 0.0365, Accuracy: 0/256 (0%)
Epoch:6, Loss:2.3339 Val set: Average loss: 0.0361, Accuracy: 0/256 (0%)
Epoch:7, Loss:2.3383 Val set: Average loss: 0.0362, Accuracy: 0/256 (0%)
Epoch:8, Loss:2.3035 Val set: Average loss: 0.0358, Accuracy: 0/256 (0%)
Epoch:9, Loss:2.3105 Val set: Average loss: 0.0357, Accuracy: 0/256 (0%)
Epoch:10, Loss:2.2604 Val set: Average loss: 0.0350, Accuracy: 0/256 (0%)
Epoch:11, Loss:2.2264 Val set: Average loss: 0.0346, Accuracy: 0/256 (0%)
Epoch:12, Loss:2.1824 Val set: Average loss: 0.0343, Accuracy: 0/256 (0%)
Epoch:13, Loss:2.1868 Val set: Average loss: 0.0338, Accuracy: 0/256 (0%)
Epoch:14, Loss:2.1588 Val set: Average loss: 0.0333, Accuracy: 0/256 (0%)
Epoch:15, Loss:2.1359 Val set: Average loss: 0.0330, Accuracy: 0/256 (0%)
Epoch:16, Loss:2.1085 Val set: Average loss: 0.0325, Accuracy: 0/256 (0%)
Epoch:17, Loss:2.0727 Val set: Average loss: 0.0325, Accuracy: 0/256 (0%)
Epoch:18, Loss:2.0820 Val set: Average loss: 0.0328, Accuracy: 0/256 (0%)
Epoch:19, Loss:2.0600 Val set: Average loss: 0.0320, Accuracy: 0/256 (0%)
Epoch:20, Loss:2.0154 Val set: Average loss: 0.0323, Accuracy: 0/256 (0%)
Epoch:21, Loss:2.0198 Val set: Average loss: 0.0330, Accuracy: 0/256 (0%)
